Fila,Nombre,Tipo,Coordenadas
36,Inmobiliaria Elsa Guionet,UBICACION_COMPARTIDA,"-32.486281, -58.236548"
678,Inmobiliaria Elsa Guionet,UBICACION_COMPARTIDA,"-32.48631, -58.23655"
308,ODONTOLOGÍA URUGUAY,UBICACION_COMPARTIDA,"-32.48658, -58.23508"
1053,Nueva Concepción,UBICACION_COMPARTIDA,"-32.48659, -58.23519"
34,Cr. Roberto González,UBICACION_COMPARTIDA,"-32.4862752, -58.2344668"
1177,Claudio Gonzalez Estilista,UBICACION_COMPARTIDA,"-32.4866536, -58.2346218"
339,MON CLUB,UBICACION_COMPARTIDA,"-32.48633, -58.2332"
693,Marianela A. Vagge - Lic. en Psicología,UBICACION_COMPARTIDA,"-32.4864, -58.23317"
1044,Vinoteca Albertti,UBICACION_COMPARTIDA,"-32.48638, -58.233"
242,Pizzeria La Nuit,UBICACION_COMPARTIDA,"-32.48628, -58.23089"
395,Oxford Institute,UBICACION_COMPARTIDA,"-32.48653, -58.23102"
48,Taller Mecánico CHICHE,UBICACION_COMPARTIDA,"-32.4859133, -58.2846276"
450,Taller Mecánico CHICHE,UBICACION_COMPARTIDA,"-32.48591, -58.28463"
1353,Del Campo Neumáticos,UBICACION_COMPARTIDA,"-32.4859677, -58.2614817"
1399,Transporte Tim Car,UBICACION_COMPARTIDA,"-32.4860511, -58.2613962"
637,Almacén de Barrio El Grinch,UBICACION_COMPARTIDA,"-32.48603, -58.25569"
714,La Blanquita y Don Gaspar,UBICACION_COMPARTIDA,"-32.48603, -58.25569"
738,CW Gestoría del Automotor,UBICACION_COMPARTIDA,"-32.48603, -58.25569"
47,Taller mecánico Nico,UBICACION_COMPARTIDA,"-32.4861156, -58.2533068"
449,Taller mecánico Nico,UBICACION_COMPARTIDA,"-32.48612, -58.25331"
822,FreshCut,UBICACION_COMPARTIDA,"-32.48586, -58.24833"
1413,If Audio Car,UBICACION_COMPARTIDA,"-32.4860502, -58.2483064"
320,La Casa del Bulon,UBICACION_COMPARTIDA,"-32.48616, -58.24488"
1372,La Consola,UBICACION_COMPARTIDA,"-32.4862419, -58.2451947"
992,Quesería de mi sin ti,UBICACION_COMPARTIDA,"-32.48604, -58.24421"
1384,Fabián González Motos,UBICACION_COMPARTIDA,"-32.4858208, -58.2440142"
214,Concepción sin TACC,UBICACION_COMPARTIDA,"-32.48602, -58.24279"
