Fila,Nombre,Tipo de problema,Latitud,Longitud
1124,Parador Itapé,FALTANTE,,
1125,La Vid es Bella,FALTANTE,,
1126,Cremolatti (sucursal Reibel 45),FALTANTE,,
1127,Citra Bar,FALTANTE,,
1198,Neo. Soluciones en Cobranzas,FALTANTE,,
1199,Estudio Jurídico Mariana Lima y Asociados,FALTANTE,,
1200,Elvira E. Barbieri,FALTANTE,,
1201,Martínez Jorge Tito,FALTANTE,,
1202,Estudio Contable y Gestoría del Automotor Cazzulino,FALTANTE,,
1203,Thea Juan A. y Pinilla Luis M.,FALTANTE,,
1204,Buffa María Magdalena,FALTANTE,,
1205,Estudio Contable Tourfini C. Mauricio,FALTANTE,,
1206,Estudio Pascal,FALTANTE,,
1207,Silvina M. Praderio,FALTANTE,,
1208,Gestoría del Automotor de Noemi Poetto,FALTANTE,,
1209,Walter Barcos - Gestión Inmobiliaria,FALTANTE,,
1210,ArquiDiseño,FALTANTE,,
1211,"Cardoso, Patricia Elizabeth",FALTANTE,,
1212,Morsentti Pamela V.,FALTANTE,,
1213,Berguella Carolina - Coria Fernanda,FALTANTE,,
1214,Dodera Claudia de Lourdes,FALTANTE,,
1215,Gaggino Gonzalo,FALTANTE,,
1216,Marco Gastón,FALTANTE,,
1217,Ríos Carlos Gabriel,FALTANTE,,
1218,Domínguez Diego Hernán,FALTANTE,,
1219,Díaz Clarisa María de los Ángeles,FALTANTE,,
1220,Silva Walter Fernando,FALTANTE,,
1221,Azario Marcela Sonia,FALTANTE,,
1222,Février María Sol Eugenia,FALTANTE,,
1223,Sánchez Cebola Fernando Antonio,FALTANTE,,
1224,Zalazar Flavio Raúl,FALTANTE,,
1225,Sánchez Lucero Alberto Esteban,FALTANTE,,
1226,Neuman Carlos Andrés,FALTANTE,,
1227,Carelli Nicolás Marcelo,FALTANTE,,
1228,González María Victoria,FALTANTE,,
1229,Marco Carlos Alberto,FALTANTE,,
1230,Bonnin Carlos Alberto,FALTANTE,,
1231,Nadia Vanina Telis,FALTANTE,,
1232,Leo Computación,FALTANTE,,
1233,RedSis - Soluciones Informáticas,FALTANTE,,
1234,Video Juegos Star,FALTANTE,,
1235,Proa Informática,FALTANTE,,
1236,Guenoa Soluciones Informáticas,FALTANTE,,
1237,Di-Ser Informática,FALTANTE,,
1238,ABH Informática,FALTANTE,,
1239,Cluster Informática,FALTANTE,,
1240,GC Computers,FALTANTE,,
1241,AYG Computación,FALTANTE,,
1242,Trusted Informatics,FALTANTE,,
1243,Full Servis,FALTANTE,,
1244,Tec Support,FALTANTE,,
1245,Mjm Computación,FALTANTE,,
1246,Pc Tuning,FALTANTE,,
1247,Running PC,FALTANTE,,
1248,Electrans Reparaciones,FALTANTE,,
1249,LTV Service,FALTANTE,,
1250,Softec Servicio Técnico,FALTANTE,,
1251,PC Service,FALTANTE,,
1252,Quedate Mosca | Diseño,FALTANTE,,
1253,Impresión Global CdelU,FALTANTE,,
1254,Reco y Toto Publicidad,FALTANTE,,
1255,Neocolor S.R.L.,FALTANTE,,
1256,Plotter Factory,FALTANTE,,
1257,Plot Graphics,FALTANTE,,
1258,Impáctate Soluciones Gráficas,FALTANTE,,
1259,SER PHOTO,FALTANTE,,
1260,Bombieri MSI - Integración de Sistemas,FALTANTE,,
1341,Gasista Matriculado Gerardo Herlein,FALTANTE,,
1342,"Chana - Obras, Servicios y Emprendimientos",FALTANTE,,
